"","country.code","country.name","year","pov","income","reg","edu.total","hlth","mil","fdi","lbr.part","unemp","pop.gwth.total","pop.gwth.rural","pop.gwth.urban","gdp.dflt","gcf","trade","gdp.pc","lfdi","lgdp.dflt","lgdp.pc"
"820","HUN","Hungary",2019,0.3,"H","Europe & Central Asia",NA,6.35002232,1.25438629427103,98501590243.1105,57.0999984741211,3.42000007629395,-0.0452557101106228,-1.0732236554039,0.364540979606319,4.76553661583969,28.4721445821966,161.236220195785,16735.6597794761,25.3133385295942,1.5614101468913,9.72529703799383
"821","IDN","Indonesia",1984,74.2,NA,"East Asia & Pacific",NA,NA,2.28542025922011,2.22e+08,NA,NA,2.19961698686179,1.09677984357219,5.53869677910063,10.5597225268741,24.8846749403824,50.1106199773017,525.333943473596,19.2181879398366,2.3570470020687,6.26403414318355
"822","IDN","Indonesia",1987,74.3,"L","East Asia & Pacific",NA,NA,1.72218767006142,3.85e+08,NA,2.54999995231628,1.95754189006289,0.742751765330001,5.17750199852485,15.921980396328,27.2467189939824,46.9742478782921,442.21548532528,19.7687538922521,2.76770056943387,6.09179728663716
"823","IDN","Indonesia",1990,62.8,"L","East Asia & Pacific",NA,NA,1.41049291967411,1.093e+09,66.370002746582,2.53999996185303,1.7820550143316,0.446936558018745,4.88017046092877,9.11205705320339,32.7076900896332,52.8918614376893,585.076562849424,20.8121920461408,2.20959848745138,6.37174271533393
"824","IDN","Indonesia",1993,62.1,"LM","East Asia & Pacific",NA,NA,1.22355780893698,2.004e+09,65.629997253418,2.77999997138977,1.64370959630866,-0.0118952888606524,4.96677390900401,19.1525782553043,28.2806731118536,50.5233858882307,827.90526623892,21.418411020169,2.95243734130595,6.71889873508469
"825","IDN","Indonesia",1996,51.3,"LM","East Asia & Pacific",1.07854998111725,NA,1.26439252827808,6.194e+09,66.870002746582,4.8600001335144,1.49534473378093,-0.334383069056993,4.6574791063074,8.6765097553662,31.6023606375148,52.264743657148,1137.41010116628,22.5468469184974,2.16061934589127,7.03650911576019
"826","IDN","Indonesia",1998,69.1,"L","East Asia & Pacific",NA,NA,1.01911684387405,-240800000,66.9300003051758,5.46000003814697,1.41877088703827,-0.527176521677203,4.46263513050815,75.2711687734718,27.4295066667294,96.1861923602686,463.948158190899,NA,4.32109717667229,6.13977281794736
"827","IDN","Indonesia",1999,46,"L","East Asia & Pacific",NA,NA,0.810812654015076,-1865620963.49087,67.2200012207031,6.3600001335144,1.39529010665661,-0.609542441899254,4.37865512949189,14.1611959857791,22.1387593118175,62.9439128601924,671.098609676196,NA,2.65050554697137,6.50891608545321
"828","IDN","Indonesia",2000,43.6,"L","East Asia & Pacific",NA,1.85297656,0.684483763500435,-4550355285.71428,67.7600021362305,6.07999992370605,1.37990809661569,-0.684906006933796,4.30303336163431,20.4474568521459,22.2456969315568,71.4368759173731,780.19020467518,NA,3.01785851544728,6.6595377421042
"829","IDN","Indonesia",2001,39.9,"L","East Asia & Pacific",2.46003007888794,2.1185019,0.572792652704213,-2977391857.14286,67.129997253418,6.07999992370605,1.36809595498205,0.0123490641901519,3.21045489210705,14.2957154362836,22.539266316067,69.7932075256238,748.257608719846,NA,2.65995987253056,6.61774731536784
"830","IDN","Indonesia",2002,26.8,"L","East Asia & Pacific",2.64568996429443,1.98062718,0.700120208801041,145085548.722222,65.9800033569336,6.59999990463257,1.35734894556372,-0.024119182462624,3.17555949330725,5.89605169318483,21.4040702075173,59.0794617663723,900.177588137897,18.7928341175962,1.77428292234942,6.80259206401247
"831","IDN","Indonesia",2003,26.4,"LM","East Asia & Pacific",3.21799993515015,2.24837184,0.909285036773652,-596923827.786241,65.6699981689453,6.65999984741211,1.34884557354425,-0.0573663403992919,3.1413507935067,5.48742913790147,25.5984983869787,53.6164937473016,1065.6485199064,NA,1.70245986495144,6.97133883169473
"832","IDN","Indonesia",2004,27,"LM","East Asia & Pacific",2.74847006797791,2.12002277,0.945714621727218,1896082770,65.6699981689453,7.30000019073486,1.34187117776093,-0.093512125538329,3.11388509166441,8.55072703186366,24.0563663747717,59.761294836691,1150.26136651088,21.3630558948897,2.14601631230008,7.04774447076105
"833","IDN","Indonesia",2005,24.6,"LM","East Asia & Pacific",2.8728199005127,2.53189397,0.750789394004931,8336257207.64285,64.4000015258789,7.94000005722046,1.33630464499704,-0.119982703096022,3.07746462438665,14.3317870842712,25.0814099389568,63.9879358688635,1263.28733171098,22.8438801765249,2.66247994336468,7.14147259585171
"834","IDN","Indonesia",2006,30.6,"LM","East Asia & Pacific",NA,2.6194644,0.65870277762871,4914201435.40071,64.2099990844727,7.55000019073486,1.32958175171436,-0.153859617501482,3.04736254502646,14.0874244167926,25.4002172943548,56.6571268148867,1589.80148866142,22.3153951023503,2.6452825140839,7.3713644375214
"835","IDN","Indonesia",2007,25.2,"LM","East Asia & Pacific",3.04425001144409,2.82385564,0.71236193115127,6928480000,66.2300033569336,8.0600004196167,1.32383420748243,-0.183851506328241,3.01470927794316,11.2585785308971,24.9202838487256,54.8292499782075,1860.00281113287,22.6589062898712,2.42113037414725,7.52833327806786
"836","IDN","Indonesia",2008,24.7,"LM","East Asia & Pacific",2.90190005302429,2.54842281,0.578945804493387,9318453649.82664,66.370002746582,7.21000003814697,1.32333051767653,-0.21324010850987,2.99229541377777,18.1497512494676,27.8162445798583,58.5613996312961,2166.85423141608,22.9552625344775,2.89865685535345,7.68103173181468
"837","IDN","Indonesia",2009,21,"LM","East Asia & Pacific",3.52513003349304,2.62324095,0.571133891996423,4877369178.43651,66.0500030517578,6.1100001335144,1.32921737939261,-0.229367256791318,2.96874980696441,8.27475243172853,30.9851924139981,45.5121213687054,2261.24730903274,22.3078718086639,2.1132090031997,7.72367184667352
"838","IDN","Indonesia",2010,18.3,"LM","East Asia & Pacific",2.81227993965149,2.7908783,0.617587091951932,15292009410.5099,66.5800018310547,5.6100001335144,1.3377824768766,-0.207537485107733,2.91280934009964,15.2642936576449,32.8801214533558,46.7012738758737,3122.36267319362,23.4505962681682,2.72551635309824,8.04634526127074
"839","IDN","Indonesia",2011,15.7,"LM","East Asia & Pacific",3.18944001197815,2.98942471,0.653776702606807,20564938226.7185,66.9100036621094,5.15000009536743,1.34790440280692,-0.0210845599133991,2.70302720446254,7.46594303367513,32.9843332593045,50.1800131841104,3643.04717619274,23.7468534348177,2.01035175036351,8.2005757467443
"840","IDN","Indonesia",2012,13.7,"LM","East Asia & Pacific",3.40748000144959,2.91427088,0.711549473406383,21200778607.8727,67.4199981689453,4.46999979019165,1.35169978721169,-0.0362916067632649,2.68870491926569,3.75387875323653,35.0715936108881,49.5828982992627,3694.35933980214,23.7773037447364,1.32278963962369,8.21456243263942
"841","IDN","Indonesia",2013,11.2,"LM","East Asia & Pacific",3.35904002189636,2.86934805,0.918769839183066,23281742361.5305,66.7600021362305,4.34000015258789,1.34077086414715,-0.0625941318397963,2.65628613315295,4.96599029131677,33.8313567879018,48.6373726752893,3623.92724054274,23.8709353007174,1.60261273205321,8.19531358984839
"842","IDN","Indonesia",2014,9.3,"LM","East Asia & Pacific",3.28800988197327,2.96433592,0.777855178232831,25120732059.5134,66.620002746582,4.05000019073486,1.31094524538172,-0.114506066147422,2.6112791471733,5.44317454935612,34.6003439149803,48.0801755855227,3491.63749125449,23.9469593206183,1.69436244753169,8.15812610036068
"843","IDN","Indonesia",2015,8.3,"LM","East Asia & Pacific",3.58360004425049,2.92428517,0.882266734481239,19779127976.9576,66.5800018310547,4.51000022888184,1.26782970253157,-0.173950895901836,2.54772031433686,3.98024266013961,34.0627921803386,41.9376402415294,3331.69511469189,23.7078930760699,1.38134278732208,8.11123649690684
"844","IDN","Indonesia",2016,7.5,"LM","East Asia & Pacific",3.5,3.02147222,0.792220213496852,4541713739.23769,66.3099975585938,4.30000019073486,1.22059105826764,-0.237934081635893,2.48060257193435,2.43892408688207,33.858739303947,37.4213418023318,3562.81633352183,22.2365702533767,0.891556994059802,8.17830661600938
"845","IDN","Indonesia",2017,6.6,"LM","East Asia & Pacific",2.6699800491333,2.90417194,0.865191376221992,20510310832.4469,66.6900024414063,3.77999997138977,1.17619742367279,-0.290682444333394,2.40955382199953,4.29267812199525,33.7105947957751,39.3554970704606,3837.57802362633,23.7441935640815,1.45691080902529,8.25259672357836
