"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Canada","CAN","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","54.0400009155273","","","","","","","","","","58.0200004577637","","","","","61.5","61.8600006103516","62.7400016784668","63.6699981689453","64.2699966430664","65.0299987792969","64.4000015258789","64.7300033569336","65.0500030517578","65.6500015258789","66.1100006103516","66.4700012207031","66.8499984741211","67.2600021362305","67.1500015258789","66.5800018310547","65.6999969482422","65.3399963378906","65.1600036621094","64.8199996948242","64.6699981689453","64.870002746582","65.129997253418","65.5299987792969","65.7600021362305","65.9100036621094","66.8600006103516","67.5599975585938","67.4899978637695","67.1399993896484","67.0199966430664","67.4400024414063","67.5599975585938","67.0899963378906","66.9100036621094","66.7099990844727","66.5","66.4599990844727","65.9899978637695","65.8399963378906","65.7099990844727","65.7600021362305","65.4100036621094","65.7099990844727","64.0199966430664","65.0699996948242",
"Central Europe and the Baltics","CEB","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7820195585643","","","64.1876444512624","62.7832146582557","58.5848117165834","57.8884373303145","58.5598267592782","57.5056722753464","57.2143953617579","55.6737313912656","54.9325030891113","54.7711312888476","54.5497981493599","54.5876740535398","54.6413112973447","54.8693675372106","55.0322132985803","55.268356462715","55.1113584006139","55.529297349753","55.6907043315754","56.128955675767","56.2023062880791","56.1566740410073","56.7691732475024","56.8441253005618","56.9135040842553","56.6875667213569","56.6958578505394",
"Switzerland","CHE","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","60.4500007629395","","","","","","","","","","62.3499984741211","","","","","","","","46.9300003051758","47.2099990844727","60.0999984741211","","","","","51.5200004577637","51.7000007629395","","52.1699981689453","52.5900001525879","63.9799995422363","68.4300003051758","68.2900009155273","68.2200012207031","67.3499984741211","67.0500030517578","67.6500015258789","67.4199981689453","67.9800033569336","67.8199996948242","67.370002746582","67.7799987792969","67.7200012207031","67.8399963378906","67.2699966430664","66.9700012207031","67.3499984741211","67.620002746582","68.1900024414063","68.2399978637695","66.9899978637695","67.4499969482422","67.5100021362305","67.5299987792969","67.9000015258789","68.1399993896484","68.5599975585938","68.4400024414063","68.4800033569336","68.2300033569336","67.870002746582","67.379997253418",
"Channel Islands","CHI","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","52.7799987792969","","","","","","","","","","49.4000015258789","","","","","","","","","","47.1199989318848","47.7799987792969","47.1800003051758","47.5400009155273","48.1399993896484","51.3199996948242","50.8899993896484","","52.5200004577637","53.0400009155273","52.75","52.5699996948242","53.810001373291","55.3199996948242","55.1699981689453","53.9199981689453","56.6300010681152","56.6199989318848","56.75","56.6500015258789","55.9099998474121","55.0099983215332","54.5099983215332","55.0299987792969","55.4000015258789","55.7400016784668","56.8800010681152","57.3499984741211","58.5499992370605","58.3499984741211","58.689998626709","60.0200004577637","59.75","59.7799987792969","60.0099983215332","59.9000015258789","59.6599998474121","59.939998626709","59.8800010681152","59.6199989318848","55.3800010681152","57.1300010681152",
"China","CHN","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","78.7399978637695","","","","","","","","79.1699981689453","","","","","","","","","","76.8199996948242","76.4599990844727","75.6600036621094","74.9899978637695","74.2399978637695","74.2399978637695","73.7300033569336","73.1800003051758","72.8300018310547","72.4599990844727","70.9599990844727","70.8399963378906","70.6999969482422","70.6800003051758","70.629997253418","70.6900024414063","70.8899993896484","","","","","",
"Cote d'Ivoire","CIV","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","81.4199981689453","","","","","","57.2000007629395","","","","","68.9300003051758","","","77.6800003051758","","","","","","","","","","65.9100036621094","","","","","","","46.2999992370605","","","65.1699981689453","","","","","","","","","","","","","","67.2699966430664","75.3499984741211","","","66.8300018310547","56.060001373291","","64.6800003051758","","",
"Cameroon","CMR","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","64.0500030517578","","","","65.879997253418","","65.6100006103516","","","65.4300003051758","","39.4500007629395","","","","","","","","","68.3000030517578","","","","38.4700012207031","70.6999969482422","","","","71.5","","81.7300033569336","","","76.2300033569336","","","","72.0999984741211","","","","","","","",
"Congo, Dem. Rep.","COD","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.5100021362305","","","","","","","66.0299987792969","","","","","","","","","",
"Congo, Rep.","COG","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","67.9899978637695","","","","","","","","","","58.8899993896484","","","","","","","","","","","","","","","","","","","","","67.9199981689453","","","","44.9300003051758","","","53.0999984741211","","","","","","","","","",
"Colombia","COL","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","52.5900001525879","","","","","","","","","49.7700004577637","","","","","","","47.5","","","","","49.4300003051758","42.2999992370605","44","","61.1699981689453","","","","54.0400009155273","","","45.9000015258789","","","","64.8499984741211","67.6399993896484","67.5100021362305","68.1999969482422","66.6900024414063","65.9400024414063","","63.2099990844727","63.6199989318848","66.3899993896484","67.7600021362305","68.4700012207031","69.4100036621094","69.0299987792969","69.1500015258789","69.4800033569336","69.0699996948242","68.8899993896484","68.3899993896484","67.4800033569336","62.7000007629395","64.3300018310547",
"Comoros","COM","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","","","","","","","","","","","","","","","","","","53.5400009155273","","","","","","","","","","","44.9700012207031","","","","","","","","","","","","","41.3800010681152","","","","","","","","","","44.4700012207031","","","","","","","",
"Cabo Verde","CPV","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","52.810001373291","","","","","","","","","","","","","","","","","","","","38.689998626709","","","","","","","","","","60.8899993896484","","","","","","","","","","","","","","","","","","","","59.1199989318848","","","","","63.5200004577637","","59.1800003051758","55.560001373291","57.4300003051758","","",
"Costa Rica","CRI","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","","","53.810001373291","","","","","","","","","","50.310001373291","","","","","","","","","","","50.5800018310547","","","","","","57.3499984741211","56.5","55.6599998474121","56.5400009155273","57.0200004577637","58.0299987792969","55.9700012207031","58.1300010681152","59.689998626709","59.689998626709","58.8699989318848","61.0400009155273","60.6500015258789","61.0099983215332","59.7999992370605","62.0699996948242","61.7200012207031","62.5800018310547","62.1399993896484","61.5","59.2099990844727","60.6199989318848","64.3300018310547","63.6599998474121","64.1900024414063","62.810001373291","57.7900009155273","59.8499984741211","62.2099990844727","64.2600021362305","60.6199989318848","61.7599983215332",
